SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.1399T.2926	110	56	1062	194	77	276	67	48	89	565	27	8	43	240	126	95	451	406	31	300	111	153	14	19	177	179	2	54	79	827	91	332
GTEX.139T4.0826	67	9	421	260	3	205	89	190	0	362	251	0	66	30	365	637	76	178	110	91	84	99	21	4	6	226	14	2	223	293	52	108
GTEX.139TS.2926	394	900	69	154	244	191	314	325	2	123	0	99	200	112	9	8	259	276	437	69	241	157	278	61	123	10	285	37	71	50	253	69
GTEX.139TT.2726	0	0	0	344	82	86	370	5	0	0	0	0	846	220	1	0	0	7	105	35	5	66	0	2	0	0	0	18	0	38	276	0
GTEX.13CF2.3226	26	2	25	314	17	23	193	42	1	0	0	0	89	79	0	0	0	20	28	0	8	113	0	7	0	0	3	8	0	1	111	0
GTEX.13FHO.3126	15	0	4	0	145	111	68	54	52	131	837	7	21	83	530	29	1	212	0	232	74	129	0	55	0	170	0	36	33	2	47	78
GTEX.13FHP.3126	20	36	2	54	0	95	17	37	6	26	108	71	54	0	348	44	0	250	0	149	72	6	0	13	0	109	11	13	47	28	78	0
GTEX.13FTY.2826	1051	388	378	30	34	194	250	69	258	112	317	13	45	73	155	161	32	1325	143	153	117	177	151	10	66	471	58	44	178	167	241	494
GTEX.13G51.3226	3	117	0	8	0	191	89	60	0	13	1	8	259	2	52	0	2	2	62	257	33	24	73	19	0	0	13	11	199	0	152	0
GTEX.13IVO.3026	6	29	0	3	0	49	1	34	11	235	0	0	157	0	91	66	74	0	47	7	4	8	7	10	2	0	0	6	320	4	132	0
GTEX.13JUV.2626	24	84	26	118	0	54	11	169	5	97	5	25	291	0	275	13	42	123	43	99	77	5	8	29	6	15	5	0	65	112	193	8
GTEX.13JVG.3026	373	47	450	280	36	212	167	32	214	372	36	0	68	210	32	11	53	862	24	207	14	115	1	26	58	89	20	10	12	142	64	438
GTEX.13N1W.3126	44	0	22	133	0	41	15	3	0	11	2	0	80	1	7	0	0	103	19	27	1	20	0	0	0	15	0	0	6	15	38	0
GTEX.13N2G.2926	817	88	601	229	0	100	4	103	118	324	0	15	78	0	27	38	556	231	114	39	24	2	31	45	513	60	28	3	60	69	186	224
GTEX.13NYS.2926	220	62	650	297	15	139	207	36	41	163	3	55	76	103	32	26	132	245	52	45	194	154	182	13	244	133	9	15	62	256	48	171
GTEX.13NZA.3126	164	628	418	239	255	431	198	77	16	510	46	335	80	371	183	113	44	429	29	440	137	184	14	88	26	419	748	122	32	1429	42	184
GTEX.13O1R.3226	86	366	109	223	21	291	283	203	3	53	0	61	86	133	2	0	26	27	617	39	91	99	630	130	161	3	367	110	25	8	252	123
GTEX.13OVH.3126	126	120	73	127	0	74	89	44	19	56	0	8	247	14	3	0	34	166	200	90	7	18	107	7	8	3	3	1	21	85	148	10
GTEX.13OVJ.2626	96	88	86	31	6	181	59	503	276	251	482	243	32	3	55	60	175	199	52	430	33	25	32	43	358	110	192	77	143	32	106	1461
GTEX.13OVL.3226	8	16	2	62	219	106	100	77	26	13	1072	6	41	180	305	277	0	89	2	60	172	121	0	28	0	653	47	12	253	38	79	33
GTEX.13OW5.2926	1440	160	231	397	16	210	180	46	242	107	13	211	150	90	64	144	133	601	7	81	71	115	14	28	67	402	263	82	129	121	34	115
GTEX.13OW6.3126	47	81	27	202	4	118	72	145	2	33	0	137	158	111	8	0	46	32	328	22	69	85	568	26	280	73	142	50	50	11	126	78
GTEX.13OW7.3126	0	21	0	0	0	14	84	30	0	0	0	66	0	281	0	0	0	0	0	1	624	80	0	10	0	9	0	20	0	0	1	0
GTEX.13OW8.3026	41	29	128	25	14	327	75	42	610	336	916	709	2	59	154	234	475	262	5	435	121	76	37	139	1872	287	77	168	37	141	4	1424
GTEX.13PLJ.1726	67	753	147	158	14	227	257	135	0	340	0	179	208	89	3	0	165	24	955	24	232	67	395	28	15	2	239	24	9	70	244	2
GTEX.13QJC.3326	0	605	0	11	6	103	293	83	1	0	0	41	57	160	2	0	0	1	19	0	168	98	0	362	0	1	281	68	0	0	241	0
GTEX.13RTJ.2926	412	70	56	8	11	226	67	97	61	315	65	308	5	6	95	290	325	276	7	63	39	58	21	19	606	254	363	86	197	14	27	833
GTEX.13SLW.2926	244	553	1135	374	136	168	130	54	98	357	3	633	29	239	30	46	618	200	31	41	131	200	82	139	1526	159	594	45	36	546	34	720
GTEX.13SLX.3026	272	4	8	23	21	158	270	61	8	219	1775	0	69	135	510	366	29	390	43	280	216	103	86	24	132	306	0	8	226	51	82	424
GTEX.13VXU.3126	191	5	600	278	2	204	136	20	159	244	22	61	74	150	17	8	36	602	156	523	82	157	68	29	8	86	0	38	143	704	14	119
GTEX.13X6J.3126	0	9	1	7	9	168	505	30	9	6	0	0	94	129	1	0	0	0	27	38	153	62	0	29	0	0	0	55	0	0	502	0
GTEX.13X6K.3026	73	48	71	102	0	36	8	378	12	24	1	215	169	0	12	3	3	5	30	10	119	7	2	39	5	18	172	25	38	2	265	41
GTEX.1445S.3226	29	135	399	104	0	185	66	56	6	58	2	319	47	3	4	2	57	42	21	66	148	55	13	35	11	6	271	8	4	294	52	42
